"filename", "language", "Java", "Markdown", "HTML", "CSS", "JavaScript", "XML", "Log", "comment", "blank", "total"
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\propiedades\package-tree.html", "HTML", 0, 0, -116, 0, 0, 0, 0, -36, -1, -153
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\propiedades\package-use.html", "HTML", 0, 0, -137, 0, 0, 0, 0, -37, -1, -175
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\script.js", "JavaScript", 0, 0, 0, 0, -29, 0, 0, 0, -2, -31
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\stylesheet.css", "CSS", 0, 0, 0, -533, 0, 0, 0, -31, -11, -575
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\README.md", "Markdown", 0, -10, 0, 0, 0, 0, 0, 0, -9, -19
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\almacen\Almacen.class", "Java", -38, 0, 0, 0, 0, 0, 0, 0, 0, -38
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\almacen\AlmacenCentral$AlmacenCentralAdapter.class", "Java", -36, 0, 0, 0, 0, 0, 0, 0, -1, -37
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\almacen\AlmacenCentral.class", "Java", -19, 0, 0, 0, 0, 0, 0, 0, 0, -19
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\commons\ApoyoMenu.class", "Java", -320, 0, 0, 0, 0, 0, 0, 0, 0, -320
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\commons\DataJson$DataJsonAdapter$1.class", "Java", -8, 0, 0, 0, 0, 0, 0, 0, 0, -8
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\commons\DataJson$DataJsonAdapter$2.class", "Java", -8, 0, 0, 0, 0, 0, 0, 0, 0, -8
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\commons\DataJson$DataJsonAdapter$3.class", "Java", -8, 0, 0, 0, 0, 0, 0, 0, 0, -8
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\commons\DataJson$DataJsonAdapter.class", "Java", -52, 0, 0, 0, 0, 0, 0, 0, -1, -53
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\commons\DataJson.class", "Java", -30, 0, 0, 0, 0, 0, 0, 0, 0, -30
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\commons\Monedas.class", "Java", -22, 0, 0, 0, 0, 0, 0, 0, 0, -22
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\commons\Registros.class", "Java", -33, 0, 0, 0, 0, 0, 0, -4, 0, -37
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\commons\Rewards.class", "Java", -122, 0, 0, 0, 0, 0, 0, 0, 0, -122
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\commons\Simulador.class", "Java", -171, 0, 0, 0, 0, 0, 0, 0, -1, -172
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\helper\InputHelper.class", "Java", -36, 0, 0, 0, 0, 0, 0, 0, 0, -36
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\Alimentación\Activo.class", "Java", -16, 0, 0, 0, 0, 0, 0, 0, 0, -16
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\Alimentación\Carnivoro.class", "Java", -27, 0, 0, 0, 0, 0, 0, 0, 0, -27
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\Alimentación\CarnivoroActivo.class", "Java", -19, 0, 0, 0, 0, 0, 0, 0, 0, -19
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\Alimentación\CarnivoroComedido.class", "Java", -19, 0, 0, 0, 0, 0, 0, 0, 0, -19
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\Alimentación\CarnivoroLongevo.class", "Java", -6, 0, 0, 0, 0, 0, 0, 0, 0, -6
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\Alimentación\CarnivoroLongevoVoraz.class", "Java", -6, 0, 0, 0, 0, 0, 0, 0, 0, -6
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\Alimentación\CarnivoroVoraz.class", "Java", -20, 0, 0, 0, 0, 0, 0, 0, 0, -20
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\Alimentación\CarnivoroVorazComedido.class", "Java", -19, 0, 0, 0, 0, 0, 0, 0, 0, -19
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\Alimentación\Comedido.class", "Java", -18, 0, 0, 0, 0, 0, 0, 0, 0, -18
