"filename", "language", "Markdown", "HTML", "Java", "CSS", "JavaScript", "XML", "Log", "comment", "blank", "total"
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\Alimentación\Longevo.class", "Java", 0, 0, 15, 0, 0, 0, 0, 0, 0, 15
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\Alimentación\Omnivoro.class", "Java", 0, 0, 30, 0, 0, 0, 0, 0, 0, 30
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\Alimentación\OmnivoroComedido.class", "Java", 0, 0, 21, 0, 0, 0, 0, 0, 0, 21
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\Alimentación\OmnivoroLongevo.class", "Java", 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\Alimentación\OmnivoroVoraz.class", "Java", 0, 0, 21, 0, 0, 0, 0, 0, 0, 21
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\Alimentación\Voraz.class", "Java", 0, 0, 17, 0, 0, 0, 0, 0, 0, 17
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\Pez.class", "Java", 0, 0, 73, 0, 0, 0, 0, 0, 0, 73
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\PezMar.class", "Java", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\PezRio.class", "Java", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\pecesDoble\Bagre.class", "Java", 0, 0, 16, 0, 0, 0, 0, 0, 0, 16
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\pecesDoble\Dorada.class", "Java", 0, 0, 15, 0, 0, 0, 0, 0, 0, 15
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\pecesDoble\LubinaEuropea.class", "Java", 0, 0, 15, 0, 0, 0, 0, 0, 0, 15
